"ENTITY","FIELD","REQUIRED?","CONDITIONAL RULE","INPUT TYPE","TARGET SELECT OPTIONS","LIVE SELECT OPTIONS","INHERITABLE FROM","DERIVED FROM","DEFAULT","MANUAL ENTRY ALLOWED?","CUSTOM/OTHER?","EXAMPLE","VALIDATION","AIRTABLE FIELD","LIVE AIRTABLE TYPE","COMPLETION DISPOSITION"
"contact","name","true","","text","","","name","","","yes","","Dana Cohen","type","שם","singleLineText","completion contract"
"contact","company","false","","text","","","company|organization_name","","","yes","","","type","חברה","singleLineText","completion contract"
"contact","email","false","","text","","","email","","","yes","","","email","אימייל","email","completion contract"
"contact","phone","true","","text","","","phone","","","yes","","050-123-4567","phone","טלפון","phoneNumber","completion contract"
"contact","תאריך פולו אפ","false","","date","","","","","","no","","","outside completion contract","תאריך פולו אפ","date","legacy or out of completion scope"
"contact","סטטוס","false","","select","","חדש|בתהליכים|פולו-אפ|לא רלוונטי","","","","no","","","outside completion contract","סטטוס","singleSelect","legacy or out of completion scope"
"contact","עסקאות (Deals)","false","","link","","","","","","no","","","outside completion contract","עסקאות (Deals)","multipleRecordLinks","legacy or out of completion scope"
"contact","משימות (Tasks)","false","","link","","","","","","no","","","outside completion contract","משימות (Tasks)","multipleRecordLinks","legacy or out of completion scope"
"contact","BLUE VIEW BUYERS","false","","text","","","","","","no","","","outside completion contract","BLUE VIEW BUYERS","singleLineText","legacy or out of completion scope"
"contact","Contact Archive","false","","text","","","","","","no","","","outside completion contract","Contact Archive","singleLineText","legacy or out of completion scope"
"contact","Worlds","false","","link","","","","","","no","","","outside completion contract","Worlds","multipleRecordLinks","legacy or out of completion scope"
"contact","Owner","false","","link","","","","","","no","","","outside completion contract","Owner","multipleRecordLinks","legacy or out of completion scope"
"contact","Role (from Owner)","false","","computed","","","","Airtable/system","","no","","","never manually write","Role (from Owner)","multipleLookupValues","schema-computed/system-owned"
"contact","Domain","false","","select","","SaaS |General|Real Estate | Recruitment |Import","","","","no","","","outside completion contract","Domain","singleSelect","legacy or out of completion scope"
"contact","Ventures","false","","link","","","","","","no","","","outside completion contract","Ventures","multipleRecordLinks","legacy or out of completion scope"
"contact","Origin Lead","false","","link","","","","","","no","","","outside completion contract","Origin Lead","multipleRecordLinks","legacy or out of completion scope"
"contact","Referral Code","false","","text","","","","","","no","","","outside completion contract","Referral Code","singleLineText","legacy or out of completion scope"
"contact","Partner Status","false","","select","","Not Partner|Potential|Active|Inactive","","","","no","","","outside completion contract","Partner Status","singleSelect","legacy or out of completion scope"
"contact","Partner Type","false","","select","","Mortgage Advisor|Insurance Agent|Broker|Recruiter|Community Manager|Investor|Other","","","","no","Other","","outside completion contract","Partner Type","singleSelect","legacy or out of completion scope"
"contact","Total Referrals","false","","number","","","","","","no","","","outside completion contract","Total Referrals","number","legacy or out of completion scope"
"contact","Referred By","false","","select","","אליהו|אורי|אבי|אהרן|Other","","","","no","Other","","outside completion contract","Referred By","singleSelect","legacy or out of completion scope"
"contact","role_category","false","","select","lead|broker|expert|supplier|operator|partner|investor|client|other","lead|broker|expert|supplier|operator|partner|investor|client|other","","","","yes","","","type","Role Category","singleSelect","completion contract"
"contact","Specialty","false","","text","","","","","","no","","","outside completion contract","Specialty","multilineText","legacy or out of completion scope"
"contact","Needs Review","false","","text","","","","","","no","","","outside completion contract","Needs Review","checkbox","legacy or out of completion scope"
"contact","Import Status","false","","select","","pending|reviewed|approved|rejected","","","","no","","","outside completion contract","Import Status","singleSelect","legacy or out of completion scope"
"contact","Source","false","","select","","רשת קשרים|WhatsApp|Telegram|Partner|Facebook|Google|אחר","","","","no","אחר","","outside completion contract","Source","singleSelect","legacy or out of completion scope"
"contact","email_domain","false","","text","","","","","","no","","","outside completion contract","email_domain","singleLineText","legacy or out of completion scope"
"contact","Institution Type","false","","select","","ישיבה|כולל|בית כנסת|בית דין|גמ""ח|בית חולים|קופת חולים|בית הוראה|מוסד|בטחון","","","","no","","","outside completion contract","Institution Type","singleSelect","legacy or out of completion scope"
"contact","Looking For","false","","select","","קרקע|דירה|שטח|משרד|חנות|בית|השקעה|לא צוין","","","","no","","","outside completion contract","Looking For","singleSelect","legacy or out of completion scope"
"contact","Contact Score","false","","number","","","","","","no","","","outside completion contract","Contact Score","number","legacy or out of completion scope"
"contact","Import Batch","false","","text","","","","","","no","","","outside completion contract","Import Batch","singleLineText","legacy or out of completion scope"
"contact","Decisions","false","","link","","","","","","no","","","outside completion contract","Decisions","multipleRecordLinks","legacy or out of completion scope"
"contact","Decision Events","false","","link","","","","","","no","","","outside completion contract","Decision Events","multipleRecordLinks","legacy or out of completion scope"
"contact","Decision Stakeholders","false","","link","","","","","","no","","","outside completion contract","Decision Stakeholders","multipleRecordLinks","legacy or out of completion scope"
"contact","Media Files","false","","link","","","","","","no","","","outside completion contract","Media Files","multipleRecordLinks","legacy or out of completion scope"
"contact","Sessions","false","","link","","","","","","no","","","outside completion contract","Sessions","multipleRecordLinks","legacy or out of completion scope"
"contact","Allocation Rules","false","","link","","","","","","no","","","outside completion contract","Allocation Rules","multipleRecordLinks","legacy or out of completion scope"
"contact","Allocation Snapshots","false","","link","","","","","","no","","","outside completion contract","Allocation Snapshots","multipleRecordLinks","legacy or out of completion scope"
"contact","Payments","false","","link","","","","","","no","","","outside completion contract","Payments","multipleRecordLinks","legacy or out of completion scope"
"contact","עסקאות (Deals) 2","false","","link","","","","","","no","","","outside completion contract","עסקאות (Deals) 2","multipleRecordLinks","legacy or out of completion scope"
"deal","name","true","","text","","","deal_name|name","","","yes","","Annual maintenance agreement","type","שם העסקה","singleLineText","completion contract"
"deal","expected_value","true","","currency","","","expected_value|amount","","","yes","","","positive","סכום","currency","completion contract"
"deal","stage","false","","select","הזדמנות|במשא ומתן|סגור-ניצחון|סגור-הפסד","הזדמנות|במשא ומתן|סגור-ניצחון|סגור-הפסד","","","הזדמנות","yes","","","type","שלב","singleSelect","completion contract"
"deal","תאריך סגירה","false","","date","","","","","","no","","","outside completion contract","תאריך סגירה","date","legacy or out of completion scope"
"deal","מקושר לאנשי קשר","false","","link","","","","","","no","","","outside completion contract","מקושר לאנשי קשר","multipleRecordLinks","legacy or out of completion scope"
"deal","משימות (Tasks)","false","","link","","","","","","no","","","outside completion contract","משימות (Tasks)","multipleRecordLinks","legacy or out of completion scope"
"deal","תשלומים (Payments)","false","","link","","","","","","no","","","outside completion contract","תשלומים (Payments)","multipleRecordLinks","legacy or out of completion scope"
"deal","DEPRECATED - BLUE VIEW BUYERS (unused, do not use)","false","","text","","","","","","no","","","outside completion contract","DEPRECATED - BLUE VIEW BUYERS (unused, do not use)","singleLineText","legacy or out of completion scope"
"deal","owner","true","","link","","","owner|owner_id","","","yes","","","record_id","Owner","multipleRecordLinks","completion contract"
"deal","Role (from Owner)","false","","computed","","","","Airtable/system","","no","","","never manually write","Role (from Owner)","multipleLookupValues","schema-computed/system-owned"
"deal","Priority","false","","select","","High|Medium|Low","","","","no","","","outside completion contract","Priority","singleSelect","legacy or out of completion scope"
"deal","DEPRECATED - Select (unused, do not use)","false","","select","","Real Estate |SaaS |General| Recruitment |Import ","","","","no","","","outside completion contract","DEPRECATED - Select (unused, do not use)","singleSelect","legacy or out of completion scope"
"deal","domain","true","","text","","Real Estate |General|SaaS|Recruitment|Import","domain","","","yes","","","type","Domain","singleSelect","completion contract"
"deal","DEPRECATED - Status (unused, do not use)","false","","select","","Idea| Rejected| Pending Decision| Feasibility Check|Legal/Tax Review| Due Diligence|Prospect| Active| Closed|Cancelled","","","","no","","","outside completion contract","DEPRECATED - Status (unused, do not use)","singleSelect","legacy or out of completion scope"
"deal","Ventures","false","","link","","","","","","no","","","outside completion contract","Ventures","multipleRecordLinks","legacy or out of completion scope"
"deal","origin_lead","false","","link","","","lead_id|origin_lead_id","","","yes","","","record_id","Origin Lead","multipleRecordLinks","completion contract"
"deal","Address","false","","text","","","","","","no","","","outside completion contract","Address","singleLineText","legacy or out of completion scope"
"deal","Funding Cost","false","","percent","","","","","","no","","","outside completion contract","Funding Cost","percent","legacy or out of completion scope"
"deal","Roi","false","","percent","","","","","","no","","","outside completion contract","Roi","percent","legacy or out of completion scope"
"deal","Risk Level","false","","select","","Low|Medium|High","","","","no","","","outside completion contract","Risk Level","singleSelect","legacy or out of completion scope"
"deal","notes","false","","text","","","","","","yes","","","type","Notes","multilineText","completion contract"
"deal","Decisions","false","","link","","","","","","no","","","outside completion contract","Decisions","multipleRecordLinks","legacy or out of completion scope"
"deal","Sessions","false","","link","","","","","","no","","","outside completion contract","Sessions","multipleRecordLinks","legacy or out of completion scope"
"deal","Payment Terms","false","","link","","","","","","no","","","outside completion contract","Payment Terms","multipleRecordLinks","legacy or out of completion scope"
"deal","Charges","false","","link","","","","","","no","","","outside completion contract","Charges","multipleRecordLinks","legacy or out of completion scope"
"deal","Allocation Rules","false","","link","","","","","","no","","","outside completion contract","Allocation Rules","multipleRecordLinks","legacy or out of completion scope"
"deal","Deal Economics","false","","link","","","","","","no","","","outside completion contract","Deal Economics","multipleRecordLinks","legacy or out of completion scope"
"deal","counterparty_contact","conditional: one of counterparty_contact / counterparty_organization","","link","","","contact_id|counterparty_contact","","","yes","","","record_id","Counterparty Contact","multipleRecordLinks","completion contract"
"deal","counterparty_organization","conditional: one of counterparty_contact / counterparty_organization","","link","","","organization_id|counterparty_organization","","","yes","","","record_id","Counterparty Organization","multipleRecordLinks","completion contract"
"deal","deal_type","true","","text","","","","","","yes","","service agreement","type","Deal Type","singleLineText","completion contract"
"deal","relationship_type","true","","select","one_off|ongoing|recurring_service|commission_relationship|partnership|other","one_off|ongoing|recurring_service|commission_relationship|partnership|other","","","","yes","","","type","Relationship Type","singleSelect","completion contract"
"deal","currency","true","","select","ILS|USD|EUR","ILS|USD|EUR","","","","yes","","","type","Currency","singleSelect","completion contract"
"deal","commercial_status","true","","select","prospect|active|at_risk|completed|cancelled|written_off","prospect|active|at_risk|completed|cancelled|written_off","","","","yes","","","type","Commercial Status","singleSelect","completion contract"
"deal","start_date","false","","date","","","","","","yes","","","type","Start Date","NOT LIVE","approved future field; not live"
"deal","total_charged","false","","computed","","","","","","no","","","type","Total Charged","NOT LIVE","approved future field; not live"
"deal","total_collected","false","","computed","","","","","","no","","","type","Total Collected","NOT LIVE","approved future field; not live"
"deal","outstanding","false","","computed","","","","","","no","","","type","Outstanding","NOT LIVE","approved future field; not live"
"payment","reference","false","","text","","","","","","yes","","","type","reference","singleLineText","completion contract"
"payment","amount","true","","currency","","","","","","yes","","","positive","amount","currency","completion contract"
"payment","date","false","","date","","","","","","no","","","outside completion contract","date","date","legacy or out of completion scope"
"payment","status","false","","select","received","received|pending|overdue|canceled","","","received","no","","","type","status","singleSelect","completion contract"
"payment","deal","false","","link","","","deal_id|deal","","","yes","","","record_id","deal_id","multipleRecordLinks","completion contract"
"payment","owner","false","","link","","","","","","no","","","outside completion contract","owner","multipleRecordLinks","legacy or out of completion scope"
"payment","role (from Owner)","false","","computed","","","","Airtable/system","","no","","","never manually write","role (from Owner)","multipleLookupValues","schema-computed/system-owned"
"payment","domain","false","","select",""," General|SaaS |Real Estate |Recruitment |Import","","","","no","","","outside completion contract","domain","singleSelect","legacy or out of completion scope"
"payment","Sessions","false","","link","","","","","","no","","","outside completion contract","Sessions","multipleRecordLinks","legacy or out of completion scope"
"payment","Origin Lead","false","","link","","","","","","no","","","outside completion contract","Origin Lead","multipleRecordLinks","legacy or out of completion scope"
"payment","payment_term","false","","link","","","payment_term_id|billing_term","","","yes","","","record_id","Payment Term","multipleRecordLinks","completion contract"
"payment","Base Amount","false","","currency","","","","","","no","","","outside completion contract","Base Amount","currency","legacy or out of completion scope"
"payment","Rate %","false","","percent","","","","","","no","","","outside completion contract","Rate %","percent","legacy or out of completion scope"
"payment","VAT Rule","false","","select","","none|add|included","","","","no","","","outside completion contract","VAT Rule","singleSelect","legacy or out of completion scope"
"payment","VAT Amount","false","","currency","","","","","","no","","","outside completion contract","VAT Amount","currency","legacy or out of completion scope"
"payment","Trigger Evidence","false","","text","","","","","","no","","","outside completion contract","Trigger Evidence","singleLineText","legacy or out of completion scope"
"payment","paid_at","true","","date","","","","","","yes","","","type","Paid At","date","completion contract"
"payment","notes","false","","text","","","","","","yes","","","type","Notes","multilineText","completion contract"
"payment","charge","true","","link","","","charge_id|charge","","","yes","","","record_id","Charge","multipleRecordLinks","completion contract"
"payment","direction","true","","select","receivable|payable|internal","receivable|payable|internal","direction","","","yes","","","type","Direction","singleSelect","completion contract"
"payment","method","false","","text","","","","","","yes","","","type","Method","singleLineText","completion contract"
"payment","document_requirement","false","","select","receipt_required|invoice_required|expense_document_required|none","receipt_required|invoice_required|expense_document_required|none","","","none","yes","","","type","Document Requirement","singleSelect","completion contract"
